DEPT,GR,CAL,RESDEEP,RESMED,NPHI,RHOB,PE,TOC,VCLAY,VOTZ,VOTZ,VCLC,VPYR,VOM,BVH,BVWF,BVWI,Sw,OIP,SUM OIP,Electrofacies
2587.00,132.92,15.22,1176.15,809.49,0.28,2.75,7.94,0.00,1.00,0.79,0.57,0.55,0.05,0.05,0.11,0.18,0.06,0.57,0.15,11.37,0.94
2587.50,101.52,4.92,949.18,550.12,0.31,2.29,9.09,0.00,1.00,0.73,0.18,0.61,0.09,0.03,0.26,0.13,0.04,0.98,0.01,17.72,0.47
2588.00,63.09,6.04,104.94,11.03,0.13,2.57,9.33,0.00,1.00,0.66,0.21,0.44,0.04,0.09,0.32,0.08,0.01,0.61,0.04,12.66,0.14
2588.50,115.55,4.10,1643.83,831.57,0.07,2.93,7.72,0.03,1.00,0.65,0.24,0.30,0.04,0.02,0.16,0.17,0.03,0.01,0.00,35.51,0.67
2589.00,26.97,5.99,210.84,1243.99,0.09,2.82,8.57,0.01,1.00,0.61,0.43,0.58,0.00,0.06,0.07,0.12,0.06,0.89,0.21,11.63,0.63
2589.50,57.15,14.48,1308.26,399.80,-0.10,2.39,0.69,0.02,1.00,0.65,0.30,0.35,0.02,0.06,0.09,0.18,0.06,0.70,0.11,43.82,0.77
2590.00,22.37,7.53,575.56,100.37,0.03,2.10,9.92,0.06,1.00,0.74,0.57,0.28,0.07,0.07,0.25,0.11,0.06,0.51,0.23,14.46,0.90
2590.50,147.11,11.39,563.76,666.53,0.45,2.24,7.34,0.09,1.00,0.71,0.48,0.69,0.09,0.05,0.16,0.03,0.07,0.67,0.11,44.00,0.92
2591.00,22.30,13.45,18.69,683.50,-0.08,2.72,9.23,0.09,1.00,0.78,0.50,0.10,0.00,0.01,0.38,0.19,0.05,0.52,0.25,25.89,0.19
2591.50,74.80,13.91,1794.66,219.49,0.19,2.69,8.23,0.08,1.00,0.64,0.29,0.13,0.03,0.07,0.28,0.13,0.08,0.92,0.22,13.46,0.49
2592.00,92.95,10.06,1165.63,474.63,-0.07,2.54,7.18,0.01,1.00,0.68,0.58,0.18,0.02,0.00,0.26,0.03,0.06,0.96,0.13,5.04,0.44
2592.50,11.28,0.40,35.97,1840.20,0.33,2.02,2.73,0.01,1.00,0.73,0.25,0.32,0.07,0.04,0.10,0.19,0.09,0.64,0.23,7.11,0.08
2593.00,3.74,6.82,982.65,833.29,0.43,2.04,9.61,0.03,1.00,0.68,0.37,0.69,0.01,0.01,0.17,0.11,0.08,0.30,0.01,29.67,0.72
2593.50,25.87,8.86,1178.13,998.75,0.10,2.06,3.94,0.06,1.00,0.76,0.29,0.65,0.08,0.06,0.15,0.05,0.08,0.03,0.06,8.09,0.03
2594.00,102.74,13.53,995.51,1158.26,0.24,2.65,8.19,0.09,1.00,0.80,0.24,0.13,0.07,0.04,0.26,0.20,0.08,0.92,0.12,35.04,0.64
2594.50,74.29,8.48,1284.88,140.46,0.33,2.27,0.50,0.05,1.00,0.63,0.19,0.15,0.05,0.09,0.19,0.06,0.07,0.57,0.19,29.22,0.59
2595.00,105.91,8.29,1842.81,56.28,0.07,2.30,3.59,0.08,1.00,0.63,0.14,0.21,0.08,0.05,0.18,0.13,0.08,0.96,0.18,48.76,0.13
2595.50,93.77,11.70,614.58,830.58,-0.05,2.22,2.58,0.07,1.00,0.74,0.42,0.71,0.05,0.07,0.26,0.07,0.07,0.37,0.07,21.73,0.87
2596.00,97.32,3.31,929.78,1958.90,0.21,2.78,1.88,0.04,1.00,0.70,0.32,0.32,0.01,0.09,0.08,0.18,0.03,0.93,0.18,7.00,0.76
2596.50,127.39,15.53,576.03,350.31,0.18,2.38,9.68,0.10,1.00,0.67,0.13,0.40,0.05,0.00,0.39,0.03,0.06,0.82,0.01,7.64,0.31
2597.00,57.12,12.75,1127.19,1039.71,-0.11,2.32,7.66,0.08,1.00,0.73,0.40,0.37,0.02,0.04,0.26,0.19,0.01,0.32,0.12,13.24,0.95
2597.50,42.58,2.95,1656.95,1925.41,0.04,2.38,9.58,0.04,1.00,0.80,0.60,0.16,0.04,0.05,0.22,0.10,0.09,0.61,0.14,44.19,0.02
2598.00,122.35,11.08,2.27,725.39,-0.04,2.70,7.46,0.01,1.00,0.65,0.35,0.70,0.08,0.02,0.05,0.17,0.03,0.39,0.20,48.63,0.89
2598.50,117.70,6.22,1133.94,1780.22,-0.08,2.42,9.78,0.04,1.00,0.61,0.16,0.40,0.03,0.10,0.17,0.04,0.02,0.52,0.13,44.88,0.79
2599.00,114.18,15.39,341.90,1660.25,0.39,2.38,7.44,0.02,1.00,0.60,0.14,0.54,0.04,0.04,0.23,0.19,0.02,0.45,0.16,27.25,0.54
2599.50,105.38,11.07,599.05,995.01,-0.05,2.50,6.33,0.01,1.00,0.80,0.11,0.69,0.04,0.01,0.12,0.04,0.05,0.24,0.10,29.41,0.29
2600.00,61.77,14.55,448.20,1521.12,-0.05,2.78,1.48,0.00,1.00,0.68,0.17,0.30,0.03,0.02,0.19,0.03,0.00,0.78,0.16,36.17,0.92
